iter	MultiClass
0	1.032060682
1	0.9794368826
2	0.9366158995
3	0.9002311945
4	0.8704669113
5	0.843990255
6	0.8219489164
7	0.8031589203
8	0.7854845214
9	0.7698868577
10	0.7570073905
11	0.7443144312
12	0.7342913185
13	0.7247080863
14	0.7134046664
15	0.7058879451
16	0.6966151232
17	0.6877732218
18	0.6788627838
19	0.670201288
20	0.6601830838
21	0.6530581303
22	0.6466472984
23	0.6402641685
24	0.6347217341
25	0.6296065629
26	0.6245957491
27	0.6196074437
28	0.6042322593
29	0.6001413468
30	0.5959441051
31	0.5880905954
32	0.5843901857
33	0.5792284113
34	0.575228728
35	0.5678786643
36	0.5594718925
37	0.5529588299
38	0.5468421209
39	0.543670714
40	0.5407645197
41	0.5365477583
42	0.533474669
43	0.5242184631
44	0.5195801691
45	0.5151036761
46	0.5121876538
47	0.5072270609
48	0.5047056395
49	0.5011415069
50	0.4951377139
51	0.4888505108
52	0.4818024311
53	0.4767845445
54	0.4738347784
55	0.4716404483
56	0.469656411
57	0.4657949108
58	0.461721163
59	0.4595919466
60	0.4562838499
61	0.4525470798
62	0.4488221264
63	0.4452738217
64	0.4423156116
65	0.4406431135
66	0.4382996335
67	0.4348415949
68	0.4286827229
69	0.4246177823
70	0.420613811
71	0.4188557774
72	0.416121896
73	0.4136853428
74	0.4115862353
75	0.4083621628
76	0.4058116692
77	0.401475619
78	0.39862783
79	0.3956723092
80	0.3933601295
81	0.3896033392
82	0.38725894
83	0.3852548184
84	0.381729455
85	0.3804031256
86	0.3774314693
87	0.3761319532
88	0.375162437
89	0.3709412248
90	0.3690902505
91	0.364170221
92	0.3607133668
93	0.3592880689
94	0.3573803625
95	0.354151068
96	0.3523644895
97	0.3498649896
98	0.3480229677
99	0.3443333016
100	0.3416052646
101	0.3390745045
102	0.3367533349
103	0.3354914362
104	0.3345057806
105	0.3318096268
106	0.3298130305
107	0.3279486146
108	0.3262002378
109	0.3242653302
110	0.322238081
111	0.3191231005
112	0.3167073841
113	0.3140016769
114	0.3119823529
115	0.3110605805
116	0.308702192
117	0.3067331053
118	0.3038026162
119	0.3021622806
120	0.3003921411
121	0.2985948476
122	0.296322213
123	0.2943540486
124	0.2921288434
125	0.2911108954
126	0.2894408942
127	0.2880129453
128	0.2860148374
129	0.2835362432
130	0.2822004498
131	0.2802745436
132	0.2771135156
133	0.2750270697
134	0.2724835897
135	0.2716589214
136	0.2694808728
137	0.2673346022
138	0.2659407106
139	0.2651522827
140	0.2642152503
141	0.262875319
142	0.2610147466
143	0.2597153949
144	0.2581470273
145	0.2564477192
146	0.2553189339
147	0.2536135396
148	0.2521207977
149	0.2512520342
150	0.2500054132
151	0.2486130618
152	0.2470894057
153	0.2452631763
154	0.2435738558
155	0.2416563516
156	0.2400869444
157	0.2388467399
158	0.2370409351
159	0.2361221232
160	0.234449574
161	0.2330934261
162	0.2322985511
163	0.2305062721
164	0.2296962488
165	0.2290090673
166	0.2278238497
167	0.2266834827
168	0.2248036122
169	0.2241244688
170	0.2234385333
171	0.2224967
172	0.2217584765
173	0.2206278066
174	0.2194191206
175	0.2173142042
176	0.2159777426
177	0.2152427965
178	0.2139376399
179	0.2124198488
180	0.2109394509
181	0.2103144313
182	0.209369422
183	0.2084962577
184	0.2076346068
185	0.2068322364
186	0.2056906383
187	0.2044713321
188	0.2037387506
189	0.2030796352
190	0.2016529434
191	0.1999360325
192	0.1981966625
193	0.1976185208
194	0.1964829488
195	0.1954794343
196	0.1942148998
197	0.1933895651
198	0.1927209772
199	0.1918128858
200	0.190757233
201	0.1899608437
202	0.1890435717
203	0.1876467824
204	0.1870069757
205	0.1862089518
206	0.1857522378
207	0.1847389152
208	0.1840006194
209	0.1830779049
210	0.1817711337
211	0.1807037567
212	0.179500901
213	0.1789113103
214	0.1781439408
215	0.1769514648
216	0.1761488341
217	0.1750940541
218	0.1742799748
219	0.1734871709
220	0.1726834871
221	0.1718873593
222	0.1706918211
223	0.1696236347
224	0.1689253399
225	0.1684989212
226	0.1677503212
227	0.1672765583
228	0.1665209923
229	0.1657882276
230	0.1650578003
231	0.1645106893
232	0.1640464476
233	0.1633536237
234	0.1622946217
235	0.1616082297
236	0.1608705338
237	0.1603971709
238	0.159863241
239	0.1593852452
240	0.1581034836
241	0.1576453949
242	0.1569919939
243	0.1564376186
244	0.1555231079
245	0.15458498
246	0.1543449886
247	0.1538196553
248	0.1525363313
249	0.1516746814
250	0.1512797086
251	0.1506858122
252	0.1501542519
253	0.1497006011
254	0.1489574849
255	0.1480474743
256	0.1475077015
257	0.1470600715
258	0.1467302623
259	0.1456589375
260	0.1451139487
261	0.1442423973
262	0.1437794856
263	0.1433654563
264	0.1428117951
265	0.1419116695
266	0.1413187279
267	0.1408110516
268	0.1402166687
269	0.1398532629
270	0.1389896371
271	0.137979568
272	0.1374386249
273	0.1367282978
274	0.1363703817
275	0.1356805095
276	0.1348208276
277	0.1340667409
